NVDA
  2023-04: mean_close=26.966429, n=7
  2023-05: mean_close=30.631048, n=21
  2023-06: mean_close=40.829095, n=21
  2023-07: mean_close=44.670600, n=20
  2023-08: mean_close=45.161957, n=23
  2023-09: mean_close=44.235900, n=20
  2023-10: mean_close=43.547182, n=22
  2023-11: mean_close=47.443476, n=21
  2023-12: mean_close=47.986100, n=20
  2024-01: mean_close=56.175190, n=21
  2024-02: mean_close=72.151316, n=19
  2024-03: mean_close=89.362125, n=20
  2024-04: mean_close=86.076476, n=21
  2024-05: mean_close=96.140182, n=22
  2024-06: mean_close=124.515947, n=19
  2024-07: mean_close=122.075714, n=21
  2024-08: mean_close=117.051818, n=22
  2024-09: mean_close=115.363158, n=19
  2024-10: mean_close=134.265435, n=23
  2024-11: mean_close=142.452000, n=20
  2024-12: mean_close=137.167619, n=21
  2025-01: mean_close=136.583158, n=19
  2025-02: mean_close=130.304737, n=19
  2025-03: mean_close=114.880000, n=21
  2025-04: mean_close=104.991500, n=20
  2025-05: mean_close=127.271905, n=21
  2025-06: mean_close=145.661500, n=20
  2025-07: mean_close=168.031727, n=22
  2025-08: mean_close=179.384286, n=21
  2025-09: mean_close=175.719524, n=21
  2025-10: mean_close=188.233043, n=23
  2025-11: mean_close=187.963158, n=19
  2025-12: mean_close=182.324545, n=22
  2026-01: mean_close=186.712000, n=20
  2026-02: mean_close=185.701579, n=19
  2026-03: mean_close=178.552727, n=22
  2026-04: mean_close=187.351667, n=12

MSFT
  2023-04: mean_close=280.691667, n=6
  2023-05: mean_close=305.319545, n=22
  2023-06: mean_close=325.841429, n=21
  2023-07: mean_close=332.872000, n=20
  2023-08: mean_close=316.022609, n=23
  2023-09: mean_close=317.902000, n=20
  2023-10: mean_close=320.802273, n=22
  2023-11: mean_close=360.600952, n=21
  2023-12: mean_close=365.188000, n=20
  2024-01: mean_close=382.060000, n=21
  2024-02: mean_close=402.016500, n=20
  2024-03: mean_close=410.142000, n=20
  2024-04: mean_close=406.623636, n=22
  2024-05: mean_close=411.306818, n=22
  2024-06: mean_close=432.452105, n=19
  2024-07: mean_close=439.449091, n=22
  2024-08: mean_close=407.050000, n=22
  2024-09: mean_close=419.093000, n=20
  2024-10: mean_close=415.224091, n=22
  2024-11: mean_close=414.044500, n=20
  2024-12: mean_close=435.098571, n=21
  2025-01: mean_close=424.798421, n=19
  2025-02: mean_close=404.086316, n=19
  2025-03: mean_close=384.170000, n=21
